login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
tarsius,tarsius/llama,2024-08-10T21:22:27Z,2,2,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/morlock,2013-06-24T11:07:08Z,13,13,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/imake,2017-10-06T11:56:19Z,7,7,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/notmuch-maildir,2024-08-05T16:07:12Z,2,2,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/bicycle,2017-08-06T11:23:07Z,59,59,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/outline-minor-faces,2018-10-30T15:24:44Z,27,27,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/notmuch-addr,2024-08-05T16:07:30Z,5,5,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/tray,2024-08-11T00:30:12Z,3,3,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/.github,2019-12-05T17:14:31Z,1,1,Makefile,False,True,
tarsius,tarsius/backline,2018-10-30T15:25:07Z,29,29,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/emacsair.me,2017-09-01T10:11:34Z,4,4,CSS,False,False,
tarsius,tarsius/solarized-themes,2017-12-15T20:27:53Z,4,4,Emacs Lisp,False,False,
tarsius,tarsius/frameshot,2018-02-26T13:51:35Z,43,43,Emacs Lisp,False,True,gpl-3.0
tarsius,tarsius/ol-notmuch,2024-08-05T16:07:55Z,5,5,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/notmuch-transient,2024-08-05T16:06:30Z,2,2,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/hl-todo,2013-03-10T21:34:21Z,427,427,Emacs Lisp,False,True,gpl-3.0
tarsius,tarsius/paren-face,2013-12-04T17:51:58Z,164,164,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/orglink,2013-05-01T00:04:59Z,55,55,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/moody,2018-02-08T15:23:42Z,402,402,Emacs Lisp,False,True,gpl-3.0
tarsius,tarsius/mode-line-debug,2012-05-26T21:54:10Z,12,12,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/minions,2018-02-11T13:57:09Z,287,287,Emacs Lisp,False,True,gpl-3.0
tarsius,tarsius/keymap-utils,2009-02-14T16:39:03Z,10,10,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/keycast,2016-12-17T01:16:56Z,312,312,Emacs Lisp,False,True,gpl-3.0
tarsius,tarsius/fwb-cmds,2008-11-30T01:10:33Z,8,8,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/dim-autoload,2013-09-19T18:30:49Z,5,5,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/vcomp,2008-12-12T01:49:40Z,6,6,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/gitstats,2022-03-06T21:40:39Z,1,1,Python,True,True,
tarsius,tarsius/tarsius,2020-08-29T16:55:24Z,4,4,,False,False,
tarsius,tarsius/emacs-modules-doc,2020-08-30T21:35:40Z,1,1,Ruby,False,False,apache-2.0
tarsius,tarsius/elisp-maintainers,2017-09-21T19:28:28Z,177,177,,False,False,
tarsius,tarsius/map-regexp,2013-04-24T15:41:15Z,5,5,Emacs Lisp,False,False,
tarsius,tarsius/map-progress,2010-07-14T19:45:17Z,4,4,Emacs Lisp,False,False,
tarsius,tarsius/kludges,2016-12-17T01:15:29Z,1,1,Emacs Lisp,False,False,gpl-3.0
tarsius,tarsius/killer,2009-02-14T16:39:29Z,7,7,Emacs Lisp,False,False,
tarsius,tarsius/keychain-environment,2011-02-16T10:52:38Z,54,54,Emacs Lisp,False,False,
tarsius,tarsius/imapfilter,2015-04-07T23:55:06Z,3,3,Emacs Lisp,False,False,
tarsius,tarsius/org-elisp-help,2013-04-22T22:46:25Z,4,4,Emacs Lisp,False,False,
tarsius,tarsius/planet.emacsen.org,2022-07-22T21:08:44Z,1,1,,True,True,
tarsius,tarsius/emacs-ffi,2020-03-11T17:24:52Z,1,1,C,True,True,
aalmiray,aalmiray/java-champions,2018-01-28T20:06:58Z,350,350,CSS,False,False,
aalmiray,aalmiray/mvn-clean-install,2020-02-10T12:12:28Z,15,15,,True,True,cc-by-sa-4.0
aalmiray,aalmiray/hello-grpc,2018-06-25T23:31:25Z,3,3,Java,True,True,other
aalmiray,aalmiray/schemastore,2023-02-15T11:32:36Z,1,1,JavaScript,True,True,apache-2.0
aalmiray,aalmiray/reproducible-central,2023-04-06T15:56:14Z,0,0,Shell,True,False,
aalmiray,aalmiray/sdkman-db-migrations,2021-01-22T12:02:02Z,0,0,Scala,True,True,apache-2.0
aalmiray,aalmiray/moditect,2021-02-10T21:13:06Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/maven-from-a-to-z,2023-11-08T09:20:54Z,7,7,Java,True,True,
aalmiray,aalmiray/testcontainers-git,2024-05-22T19:49:15Z,2,2,,True,True,mit
aalmiray,aalmiray/foundation,2023-10-24T13:23:15Z,0,0,TeX,True,False,mit
aalmiray,aalmiray/sdk-java,2022-08-03T09:09:39Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/curso-java,2024-02-19T19:24:57Z,1,1,Java,True,True,
aalmiray,aalmiray/cloudevents-sdk-java,2023-05-23T15:46:37Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/xvm,2023-12-15T23:21:44Z,0,0,Java,True,True,other
aalmiray,aalmiray/kcctl,2021-12-27T19:43:29Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/helloworld-java-graalvm,2024-01-30T18:50:49Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/helloworld,2023-11-17T17:40:32Z,0,0,Java,True,False,apache-2.0
aalmiray,aalmiray/yamllint,2021-12-04T20:01:51Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/app,2021-04-04T17:13:40Z,2,2,Java,True,True,apache-2.0
aalmiray,aalmiray/a,2023-08-29T17:36:23Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/b,2023-08-29T17:37:40Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/dups,2023-08-07T00:25:19Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/mastering-maven,2020-01-20T14:58:01Z,5,5,Java,True,True,upl-1.0
aalmiray,aalmiray/remi,2023-07-07T06:22:01Z,0,0,Java,True,True,
aalmiray,aalmiray/helloworld-jpms-reproducible,2023-06-27T17:31:39Z,0,0,Java,True,True,
aalmiray,aalmiray/homebrew-tap,2021-04-09T21:54:42Z,0,0,Ruby,True,True,apache-2.0
aalmiray,aalmiray/helloworld-java-bin,2023-04-25T17:42:04Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/foobar,2022-08-13T17:37:23Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/timefold-solver,2023-05-05T15:49:26Z,0,0,,True,False,apache-2.0
aalmiray,aalmiray/quarkus,2021-12-16T09:07:32Z,0,0,Java,True,True,apache-2.0
aalmiray,aalmiray/javafx-canvas-plasma,2021-12-03T07:58:28Z,2,2,Java,True,True,
